id_product,attribute_name,attribute_value,Reference,wholesale_price,price,quantity,default_on
2001,Quantity,5 kg,AA20011988,100,180,50,0
2001,Quantity,1 kg,AA20012088,20,36,41,1
2001,Quantity,0.5 kg,AA20012190,9,18,47,0
2003,Quantity,3 kg,AA20031990,160,192,50,0
2003,Quantity,1 kg,AA20032090,50,64,43,0
2003,Quantity,0.5 kg,AA20032192,26,32,47,0
2004,Quantity,2 kg,AA20041991,102,104,50,0
2004,Quantity,0.5 kg,AA20042091,24,26,38,1
2004,Quantity,0.25 kg,AA20042193,10.8,13,49,0
2007,Quantity,5 kg,AA20071996,126,160,47,0
2007,Quantity,1 kg,AA20072096,25.2,32,10,1
2007,Quantity,0.5 kg,AA20072198,12.6,16,47,0
2019,Quantity,3 kg,AA20192006,324,192,50,0
2019,Quantity,500 gm,AA20192106,54,52,50,0
2019,Quantity,250 gm,AA20192208,27,26,50,1
2021,Quantity,3 kg,AA20212008,205.2,192,50,0
2021,Quantity,0.5 kg,AA20212108,34.2,32,47,0
2021,Quantity,0.25 kg,AA20212210,17.1,16,44,1
2022,Quantity,3 kg,AA20222009,194.4,192,50,0
2022,Quantity,0.5 kg,AA20222109,32.4,32,50,0
2022,Quantity,0.25 kg,AA20222211,16.2,16,48,1
2023,Quantity,3 kg,AA20232010,280.8,480,50,0
2023,Quantity,0.5 kg,AA20232110,46.8,80,47,0
2023,Quantity,0.25 kg,AA20232212,23.4,40,47,1
2026,Quantity,5 kg,AA20262013,324,390,50,0
2026,Quantity,1 kg,AA20262113,64.8,78,50,0
2026,Quantity,0.5 kg,AA20262215,32.4,39,50,1
2033,Numbers,5 pc,AA20332020,22.5,15,49,0
2033,Numbers,2 pc,AA20332120,9,6,47,0
2033,Numbers,1 pc,AA20332222,4.5,3,40,1
2035,Quantity,5 kg,AA20352022,945,980,50,0
2035,Quantity,1 kg,AA20352122,185,196,48,0
2035,Quantity,500 gm,AA20352224,90,98,45,1
2050,Numbers,18 pc,AA20502037,726.3,900,0,0
2050,Numbers,12 pc,AA20502137,484.2,600,0,0
2050,Numbers,6 pc,AA20502239,242.1,300,0,1
2054,Quantity,0.5 kg,AA20542141,162,130,0,0
2054,Quantity,0.25 kg,AA20542243,81,65,0,1
2054,Quantity,2 kg,AA20542638,648,720,0,0
2056,Quantity,3 kg,AA20562042,0,450,50,0
2056,Quantity,1 kg,AA20562143,0,150,50,0
2056,Quantity,0.5 kg,AA20562245,0,75,50,1
2064,Quantity,3 kg,AA20642050,480,576,50,0
2064,Quantity,0.5 kg,AA20642151,80,96,50,0
2064,Quantity,0.25 kg,AA20642253,40,48,47,1
2065,Numbers,5 bunch,AA20652051,63,65,50,0
2065,Numbers,2 bunch,AA20652152,26,26,49,0
2065,Numbers,1 bunch,AA20652254,11,13,34,1
2068,Numbers,5 bunch,AA20682054,63,70,50,0
2068,Numbers,2 bunch,AA20682155,25.2,28,48,0
2068,Numbers,1 bunch,AA20682257,12.6,14,41,1
2069,Numbers,5 bunch,AA20692055,67.5,80,50,0
2069,Numbers,2 bunch,AA20692156,27,32,49,0
2069,Numbers,1 bunch,AA20692258,13.5,16,36,1
2070,Numbers,5 bunch,AA20702056,105,100,50,0
2070,Numbers,2 bunch,AA20702157,40,40,50,0
2070,Numbers,1 bunch,AA20702259,16.2,20,48,1
2073,Numbers,5 bunch,AA20732059,63,75,50,0
2073,Numbers,2 bunch,AA20732160,25.2,30,50,0
2073,Numbers,1 bunch,AA20732262,12.6,15,50,1
2077,Quantity,1 kg,AA20772063,216,232,50,0
2077,Quantity,500 gm,AA20772164,108,116,50,0
2077,Quantity,250 gm,AA20772266,54,58,50,1
2078,Numbers,5 pc,AA20782064,103.5,120,50,0
2078,Numbers,2 pc,AA20782165,41.4,48,50,0
2078,Numbers,1 pc,AA20782267,20.7,24,47,1
2079,Numbers,5 pc,AA20792065,108,115,50,0
2079,Numbers,2 pc,AA20792166,43.2,46,50,0
2079,Numbers,1 pc,AA20792268,21.6,23,49,1
2084,Numbers,5 pc,AA20842070,144,210,50,0
2084,Numbers,2 pc,AA20842171,57.6,84,50,0
2084,Numbers,1 pc,AA20842273,28.8,42,49,1
2124,Quantity,3 kg,AA21242086,890,999,50,0
2124,Quantity,1 kg,AA21242188,280,350,50,0
2124,Quantity,0.5 kg,AA21242290,133.2,175,50,1
2125,Quantity,3 kg,AA21252087,264.6,480,50,0
2125,Quantity,1 kg,AA21252189,88.2,160,50,0
2125,Quantity,0.5 kg,AA21252291,44.1,80,50,1
